node_id,node_type,label,original_uri
0,author,Ulrich Wechselberger,https://dblp.org/pid/52/7395
1,author,Christian Schmidt,https://dblp.org/pid/52/3346-15
2,author,Harald Selke,https://dblp.org/pid/53/3909
3,author,Patrick Briest,https://dblp.org/pid/53/4856
4,author,Tobias Schumacher,https://dblp.org/pid/96/1876-1
5,author,Peter Stadler,https://dblp.org/pid/32/10911-1
6,author,Christian Koldewey,https://dblp.org/pid/319/8710
7,author,Stefan Böttcher,https://dblp.org/pid/b/StBottcher
8,author,Michael Baumann,https://dblp.org/pid/86/4463-2
9,author,Yasemin Acar,https://dblp.org/pid/132/9687
10,author,Diego Moussallem,https://dblp.org/pid/168/1542
11,author,Christian Schulz,https://dblp.org/pid/320/6059
12,author,Hongwei Zhang,https://dblp.org/pid/27/5935-4
13,author,Thomas D. Kühne,https://dblp.org/pid/169/3113
14,author,Marc Landmann,https://dblp.org/pid/133/9707
15,author,Uwe Gerstmann,https://dblp.org/pid/133/9755
16,author,Wolf Gero Schmidt,https://dblp.org/pid/128/3388
17,author,Martin Rohrmüller,https://dblp.org/pid/128/3400
18,author,Tobias Isenberg,https://dblp.org/pid/i/TobiasIsenberg2
19,author,Karl-Heinz Indlekofer,https://dblp.org/pid/93/4106
20,author,Christian Soltenborn,https://dblp.org/pid/50/6546
21,author,Thomas Berger,https://dblp.org/pid/50/146-4
22,author,Bernd Kleinjohann,https://dblp.org/pid/00/2717
23,author,Jens Weber,https://dblp.org/pid/117/6974-1
24,author,Martina Eikel,https://dblp.org/pid/48/8997
25,author,Michael Schmidt,https://dblp.org/pid/48/3452-11
26,author,Johannes Magenheim,https://dblp.org/pid/48/4209
27,author,Rita Hartel,https://dblp.org/pid/48/5080
28,author,Vu-Linh Nguyen,https://dblp.org/pid/164/2698
29,author,Reinhold Häb-Umbach,https://dblp.org/pid/88/6542
30,author,Martin Bauer,https://dblp.org/pid/62/4807-8
31,author,Philipp Adelt,https://dblp.org/pid/62/782
32,author,Hassan Ghasemzadeh Mohammadi,https://dblp.org/pid/62/6023-2
33,author,Georg Schneider,https://dblp.org/pid/s/GeorgSchneider5
34,author,Tim Schattkowsky,https://dblp.org/pid/s/TimSchattkowsky
35,author,Adrian Slowik,https://dblp.org/pid/s/AdrianSlowik
36,author,Christian Scheideler,https://dblp.org/pid/s/ChristianScheideler
37,author,Mohammad Soleymani,https://dblp.org/pid/s/MohammadSoleymani-2
38,author,Verena Wolf,https://dblp.org/pid/315/0981-2
39,author,Christoph Rasche,https://dblp.org/pid/315/0793-2
40,author,Patricia Arias Cabarcos,https://dblp.org/pid/13/8970
41,author,Daniel Müller,https://dblp.org/pid/13/204-6
42,author,Mohamed Ahmed Sherif,https://dblp.org/pid/145/1160
43,author,Ansgar Trächtler,https://dblp.org/pid/25/7857
44,author,Markus Becker,https://dblp.org/pid/63/4934-1
45,author,Gareth T. Davies,https://dblp.org/pid/134/7582
46,author,Hans Kleine Büning,https://dblp.org/pid/k/HKleineBuning
47,author,Reinhard Keil,https://dblp.org/pid/k/ReinhardKeilSlawik
48,author,Markus Köster,https://dblp.org/pid/k/MKoester
49,author,Uwe Kastens,https://dblp.org/pid/k/UweKastens
50,author,Jakob Bossek,https://dblp.org/pid/119/5839
51,author,Jürgen Vollmer,https://dblp.org/pid/20/4268-2
52,author,Robert Wagner,https://dblp.org/pid/02/691-2
53,author,Sabrina Geißler,https://dblp.org/pid/12/4452
54,author,Wolfgang Meyer,https://dblp.org/pid/34/34-2
55,author,Heike Trautmann,https://dblp.org/pid/34/2589
56,author,Harshini Sri Ramulu,https://dblp.org/pid/327/6458
57,author,Tao Xie,https://dblp.org/pid/181/2328-6
58,author,Abdelmoneim Amer Desouki,https://dblp.org/pid/140/3577
59,author,Alexander Krupp,https://dblp.org/pid/24/160
60,author,Matthias Hilbig,https://dblp.org/pid/24/250-2
61,author,Hong Zhang,https://dblp.org/pid/24/6914-43
62,author,Muhammad Awais,https://dblp.org/pid/80/3639-9
63,author,André Schulz,https://dblp.org/pid/80/1348-2
64,author,Martin Albrecht-Hohmaier,https://dblp.org/pid/293/0898
65,author,Daniel F. Leite,https://dblp.org/pid/228/3129
66,author,Uwe Pohlmann,https://dblp.org/pid/71/11054
67,author,Hendrik Schreiber,https://dblp.org/pid/71/10571-2
68,author,Lorijn van Rooijen,https://dblp.org/pid/123/8761
69,author,Nils Löken,https://dblp.org/pid/178/6439
70,author,Moritz Vinzent Seiler,https://dblp.org/pid/261/3628
71,author,Alexander Roth,https://dblp.org/pid/22/2959-2
72,author,Daniel Eckertz,https://dblp.org/pid/269/5697
73,author,Nikhil Kumar Jha,https://dblp.org/pid/269/9773
74,author,Eckhard Koch,https://dblp.org/pid/06/729-1
